,Entity,Code,Year,Share of population covered by health insurance (ILO (2014)),Under-fifteen mortality rate,Deaths - Sex: all - Age: 0 - Variant: estimates,Observation value - Indicator: Under-five mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,Estimated maternal deaths,Births attended by skilled health staff (% of total),MCV1 (% of one-year-olds immunized),Pol3 (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized)
14,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Measles,CHILDCAUSE_CH6,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
15,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Meningitis/encephalitis,CHILDCAUSE_CH7,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
16,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Malaria,CHILDCAUSE_CH8,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
17,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,HIV/AIDS,CHILDCAUSE_CH2,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
18,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,,,,0.013,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
19,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Tetanus,CHILDCAUSE_CH5,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
20,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Measles,CHILDCAUSE_CH6,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
21,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Meningitis/encephalitis,CHILDCAUSE_CH7,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
22,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Malaria,CHILDCAUSE_CH8,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
23,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Sepsis and other infectious conditions of the newborn,CHILDCAUSE_CH12,,,,,,,0.09,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
24,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Prematurity,CHILDCAUSE_CH10,,,,,,,0.065,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
25,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,"Other communicable, perinatal and nutritional conditions",CHILDCAUSE_CH13,,,,,,,0.065,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
26,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Congenital anomalies,CHILDCAUSE_CH15,,,,,,,0.14,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
27,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Acute lower respiratory infections,CHILDCAUSE_CH9,,,,,,,0.096,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
28,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Birth asphyxia and birth trauma,CHILDCAUSE_CH11,,,,,,,0.098,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
29,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Sepsis and other infectious conditions of the newborn,CHILDCAUSE_CH12,,,,,,,0.052,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
30,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,"Other communicable, perinatal and nutritional conditions",CHILDCAUSE_CH13,,,,,,,0.14,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
31,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Congenital anomalies,CHILDCAUSE_CH15,,,,,,,0.15,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
32,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Injuries,CHILDCAUSE_CH17,,,,,,,0.081,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
33,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Acute lower respiratory infections,CHILDCAUSE_CH9,,,,,,,0.064,,,,,,0.1,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
34,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Birth asphyxia and birth trauma,CHILDCAUSE_CH11,,,,,,,0.17,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
35,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,"Other communicable, perinatal and nutritional conditions",CHILDCAUSE_CH13,,,,,,,0.19,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
36,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Congenital anomalies,CHILDCAUSE_CH15,,,,,,,0.15,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
37,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Injuries,CHILDCAUSE_CH17,,,,,,,0.19,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
38,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Prematurity,CHILDCAUSE_CH10,,,,,,,0.24,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
39,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-4 years,AGEGROUP_YEARS0-4,Cause of death,Other noncommunicable diseases,CHILDCAUSE_CH16,,,,,,,0.17,,,,,,0.2,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
40,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Prematurity,CHILDCAUSE_CH10,,,,,,,0.36,,,,,,0.4,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
41,Antigua and Barbuda,ATG,2007,51.1,1.5160731,13.0,1.2677228,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2007,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Other noncommunicable diseases,CHILDCAUSE_CH16,,,,,,,0.41,,,,,,0.4,,,EN,2018-11-26T23:00:00.000Z,0.3371821,100.0,99.0,98.0,99.0
42,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Other noncommunicable diseases,CHILDCAUSE_CH16,,,,,,,0.002,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
43,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Injuries,CHILDCAUSE_CH17,,,,,,,0.006,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
44,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,HIV/AIDS,CHILDCAUSE_CH2,,,,,,,0.0004,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
45,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
46,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Tetanus,CHILDCAUSE_CH5,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
47,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Measles,CHILDCAUSE_CH6,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
48,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Meningitis/encephalitis,CHILDCAUSE_CH7,,,,,,,0.0002,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
49,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Malaria,CHILDCAUSE_CH8,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
50,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,0-27 days,AGEGROUP_DAYS0-27,Cause of death,Acute lower respiratory infections,CHILDCAUSE_CH9,,,,,,,0.02,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
51,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Birth asphyxia and birth trauma,CHILDCAUSE_CH11,,,,,,,0.01,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
52,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Sepsis and other infectious conditions of the newborn,CHILDCAUSE_CH12,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
53,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,HIV/AIDS,CHILDCAUSE_CH2,,,,,,,0.005,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
54,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Diarrhoeal diseases,CHILDCAUSE_CH3,,,,,,,0.031,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
55,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Tetanus,CHILDCAUSE_CH5,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
56,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Measles,CHILDCAUSE_CH6,,,,,,,0.0,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
57,Argentina,ARG,2009,96.8,1.7574325,10174.0,1.4964536,MORT_300,Distribution of causes of death among children aged < 5 years (%),numeric,AMR,Americas,Country,ARG,Argentina,Year,2009,False,Age Group,1-59 months,AGEGROUP_MONTHS1-59,Cause of death,Meningitis/encephalitis,CHILDCAUSE_CH7,,,,,,,0.03,,,,,,0.0,,,EN,2018-11-26T23:00:00.000Z,410.5084,97.9,96.0,97.0,94.0
