Entity,Code,Year,Observation value - Indicator: Under-five mortality rate - Sex: Total - Wealth quintile: Total - Unit of measure: Deaths per 100 live births
Africa,,1982,17.92334
Africa,,1983,17.641453
Africa,,1984,17.243156
Africa,,1985,16.892553
Africa,,1986,16.442335
Africa,,1987,16.153416
Africa,,1988,15.892827
Africa,,1989,15.660673
Africa,,1990,15.442207
Africa,,1991,15.244869
Africa,,1992,15.06257
Africa,,1993,14.893327
Africa,,1994,14.845591
Africa,,1995,14.447998
Africa,,1996,14.195322
Africa,,1997,13.90491
Africa,,1998,13.568028
Africa,,1999,13.189626
Africa,,2000,12.78173
Africa,,2001,12.346441
Africa,,2002,11.895406
Africa,,2003,11.442665
Africa,,2004,11.000858
Africa,,2005,10.575627
Africa,,2006,10.169171
Africa,,2007,9.763716
Africa,,2008,9.367577
Africa,,2009,8.987486
Africa,,2010,8.642888
Africa,,2011,8.334236
Africa,,2012,8.050932
Africa,,2013,7.7964416
Africa,,2014,7.577729
Africa,,2015,7.3767786
Africa,,2016,7.1708713
Africa,,2017,6.9820905
Africa,,2018,6.792204
Africa,,2019,6.6062803
Africa,,2020,6.420107
Africa,,2021,6.232287
Africa,,2022,6.0536046
Albania,ALB,1978,9.649826
Albania,ALB,1979,8.872399
Albania,ALB,1980,8.142137
Albania,ALB,1981,7.4910097
Albania,ALB,1982,6.904027
Albania,ALB,1983,6.365816
Albania,ALB,1984,5.8895926
Albania,ALB,1985,5.4672203
Albania,ALB,1986,5.101098
Albania,ALB,1987,4.780614
Albania,ALB,1988,4.5063825
Albania,ALB,1989,4.270002
Albania,ALB,1990,4.068402
Albania,ALB,1991,3.8985806
Albania,ALB,1992,3.7516608
Albania,ALB,1993,3.61947
Albania,ALB,1994,3.4957066
Albania,ALB,1995,3.3704987
Albania,ALB,1996,3.2435422
Albania,ALB,1997,3.1146598
Albania,ALB,1998,2.982254
Albania,ALB,1999,2.8478258
Albania,ALB,2000,2.7132764
Albania,ALB,2001,2.5756037
Albania,ALB,2002,2.4338715
Albania,ALB,2003,2.289681
Albania,ALB,2004,2.1433084
Albania,ALB,2005,1.9964993
Albania,ALB,2006,1.8507023
Albania,ALB,2007,1.7092829
Albania,ALB,2008,1.5751128
Albania,ALB,2009,1.4477772
Albania,ALB,2010,1.3272169
Albania,ALB,2011,1.2161573
Albania,ALB,2012,1.1213188
Albania,ALB,2013,1.046844
Albania,ALB,2014,0.9927909
Albania,ALB,2015,0.9575397
Albania,ALB,2016,0.94003564
Albania,ALB,2017,0.93337697
Albania,ALB,2018,0.9342903
Albania,ALB,2019,0.93854076
Albania,ALB,2020,0.94281656
Albania,ALB,2021,0.9457399
Albania,ALB,2022,0.94380224
Algeria,DZA,1954,24.275417
Algeria,DZA,1955,24.21995
Algeria,DZA,1956,24.168736
Algeria,DZA,1957,24.087566
Algeria,DZA,1958,24.020243
Algeria,DZA,1959,23.968637
Algeria,DZA,1960,23.95875
Algeria,DZA,1961,23.993708
Algeria,DZA,1962,24.047398
Algeria,DZA,1963,24.126242
Algeria,DZA,1964,24.241276
Algeria,DZA,1965,24.345615
Algeria,DZA,1966,24.422707
Algeria,DZA,1967,24.445204
Algeria,DZA,1968,24.379631
Algeria,DZA,1969,24.191954
Algeria,DZA,1970,23.875813
Algeria,DZA,1971,23.449823
Algeria,DZA,1972,22.898342
Algeria,DZA,1973,22.240417
Algeria,DZA,1974,21.489124
Algeria,DZA,1975,20.655226
Algeria,DZA,1976,19.75799
Algeria,DZA,1977,18.80888
Algeria,DZA,1978,17.784328
Algeria,DZA,1979,16.636528
Algeria,DZA,1980,15.316614
Algeria,DZA,1981,13.777689
Algeria,DZA,1982,12.0400095
Algeria,DZA,1983,10.2941265
Algeria,DZA,1984,8.727727
Algeria,DZA,1985,7.444625
Algeria,DZA,1986,6.483445
Algeria,DZA,1987,5.8450246
Algeria,DZA,1988,5.451521
Algeria,DZA,1989,5.2230043
Algeria,DZA,1990,5.10204
Algeria,DZA,1991,5.0398364
Algeria,DZA,1992,4.9955626
Algeria,DZA,1993,4.9503374
Algeria,DZA,1994,4.88774
Algeria,DZA,1995,4.8028574
Algeria,DZA,1996,4.6973324
Algeria,DZA,1997,4.579905
Algeria,DZA,1998,4.454683
Algeria,DZA,1999,4.3155212
Algeria,DZA,2000,4.16965
Algeria,DZA,2001,4.0119114
Algeria,DZA,2002,3.8539467
Algeria,DZA,2003,3.6928608
Algeria,DZA,2004,3.5331988
Algeria,DZA,2005,3.379765
Algeria,DZA,2006,3.234698
Algeria,DZA,2007,3.100453
Algeria,DZA,2008,2.9796133
Algeria,DZA,2009,2.8728683
Algeria,DZA,2010,2.7820969
Algeria,DZA,2011,2.7089229
Algeria,DZA,2012,2.650102
Algeria,DZA,2013,2.6045563
Algeria,DZA,2014,2.5667875
Algeria,DZA,2015,2.530254
Algeria,DZA,2016,2.4910727
Algeria,DZA,2017,2.4472413
Algeria,DZA,2018,2.3980355
Algeria,DZA,2019,2.346064
Algeria,DZA,2020,2.2910445
Algeria,DZA,2021,2.2337608
Algeria,DZA,2022,2.175275
Andorra,AND,1985,1.6873515
Andorra,AND,1986,1.6028321
Andorra,AND,1987,1.5174419
Andorra,AND,1988,1.4353943
Andorra,AND,1989,1.3625181
Andorra,AND,1990,1.2880347
Andorra,AND,1991,1.2149247
Andorra,AND,1992,1.1450626
Andorra,AND,1993,1.0856497
Andorra,AND,1994,1.0323926
Andorra,AND,1995,0.9782211
Andorra,AND,1996,0.9291274
Andorra,AND,1997,0.88175213
Andorra,AND,1998,0.836596
Andorra,AND,1999,0.7967795
Andorra,AND,2000,0.75590104
Andorra,AND,2001,0.7203327
Andorra,AND,2002,0.6845101
Andorra,AND,2003,0.6533451
Andorra,AND,2004,0.62138593
Andorra,AND,2005,0.59070295
Andorra,AND,2006,0.56308836
Andorra,AND,2007,0.53592837
Andorra,AND,2008,0.5101838
Andorra,AND,2009,0.48311806
Andorra,AND,2010,0.46054134
Andorra,AND,2011,0.43760815
Andorra,AND,2012,0.41453624
Andorra,AND,2013,0.39354473
Andorra,AND,2014,0.375111
Andorra,AND,2015,0.35579276
Andorra,AND,2016,0.33923304
Andorra,AND,2017,0.3242814
Andorra,AND,2018,0.31145138
Andorra,AND,2019,0.29906815
Andorra,AND,2020,0.2881916
Andorra,AND,2021,0.2780053
Andorra,AND,2022,0.2687715
Angola,AGO,1980,23.985449
Angola,AGO,1981,23.715786
Angola,AGO,1982,23.431225
Angola,AGO,1983,23.170559
Angola,AGO,1984,22.946173
Angola,AGO,1985,22.77688
Angola,AGO,1986,22.638296
Angola,AGO,1987,22.526142
Angola,AGO,1988,22.434925
Angola,AGO,1989,22.400593
Angola,AGO,1990,22.358791
Angola,AGO,1991,22.317738
Angola,AGO,1992,22.287016
Angola,AGO,1993,22.254498
Angola,AGO,1994,22.179365
Angola,AGO,1995,22.084566
Angola,AGO,1996,21.889843
Angola,AGO,1997,21.614283
Angola,AGO,1998,21.248375
Angola,AGO,1999,20.802359
Angola,AGO,2000,20.290821
Angola,AGO,2001,19.700212
Angola,AGO,2002,18.9977
Angola,AGO,2003,18.225502
Angola,AGO,2004,17.371153
Angola,AGO,2005,16.469955
Angola,AGO,2006,15.522817
Angola,AGO,2007,14.586916
Angola,AGO,2008,13.667519
Angola,AGO,2009,12.772692
Angola,AGO,2010,11.957712
Angola,AGO,2011,11.150184
Angola,AGO,2012,10.4250345
Angola,AGO,2013,9.794618
Angola,AGO,2014,9.253248
Angola,AGO,2015,8.788085
Angola,AGO,2016,8.397621
Angola,AGO,2017,8.036232
Angola,AGO,2018,7.714489
Angola,AGO,2019,7.4186363
Angola,AGO,2020,7.151876
Angola,AGO,2021,6.9126616
Angola,AGO,2022,6.687379
Anguilla,AIA,1985,2.5022938
Anguilla,AIA,1986,2.3666542
Anguilla,AIA,1987,2.2403932
Anguilla,AIA,1988,2.1220474
Anguilla,AIA,1989,2.0118372
Anguilla,AIA,1990,1.9034655
Anguilla,AIA,1991,1.8059756
Anguilla,AIA,1992,1.7152526
Anguilla,AIA,1993,1.6314554
Anguilla,AIA,1994,1.5536497
Anguilla,AIA,1995,1.4794085
Anguilla,AIA,1996,1.4130055
Anguilla,AIA,1997,1.3540227
Anguilla,AIA,1998,1.2963207
Anguilla,AIA,1999,1.2447723
Anguilla,AIA,2000,1.1936215
Anguilla,AIA,2001,1.1501727
Anguilla,AIA,2002,1.109481
Anguilla,AIA,2003,1.0697069
Anguilla,AIA,2004,1.0340388
Anguilla,AIA,2005,0.9988139
Anguilla,AIA,2006,0.96776974
Anguilla,AIA,2007,0.9385068
Anguilla,AIA,2008,0.9096901
Anguilla,AIA,2009,0.8810371
Anguilla,AIA,2010,0.85440123
Anguilla,AIA,2011,0.8278208
Anguilla,AIA,2012,0.8042592
Anguilla,AIA,2013,0.7832237
Anguilla,AIA,2014,0.76342994
Anguilla,AIA,2015,0.7414597
Anguilla,AIA,2016,0.7184836
Anguilla,AIA,2017,0.6942986
Anguilla,AIA,2018,0.6716925
Anguilla,AIA,2019,0.64986277
Anguilla,AIA,2020,0.62720597
Anguilla,AIA,2021,0.6068038
Anguilla,AIA,2022,0.58746326
Antigua and Barbuda,ATG,1949,12.263281
Antigua and Barbuda,ATG,1950,11.909099
Antigua and Barbuda,ATG,1951,11.541915
Antigua and Barbuda,ATG,1952,11.191254
Antigua and Barbuda,ATG,1953,10.838919
Antigua and Barbuda,ATG,1954,10.501659
Antigua and Barbuda,ATG,1955,10.163202
Antigua and Barbuda,ATG,1956,9.824724
Antigua and Barbuda,ATG,1957,9.492021
Antigua and Barbuda,ATG,1958,9.131392
Antigua and Barbuda,ATG,1959,8.722799
Antigua and Barbuda,ATG,1960,8.258066
Antigua and Barbuda,ATG,1961,7.7376986
Antigua and Barbuda,ATG,1962,7.1738496
Antigua and Barbuda,ATG,1963,6.586993
Antigua and Barbuda,ATG,1964,5.988304
Antigua and Barbuda,ATG,1965,5.4023533
Antigua and Barbuda,ATG,1966,4.8489428
Antigua and Barbuda,ATG,1967,4.348493
Antigua and Barbuda,ATG,1968,3.9116654
Antigua and Barbuda,ATG,1969,3.5368435
Antigua and Barbuda,ATG,1970,3.2235827
Antigua and Barbuda,ATG,1971,2.9586203
Antigua and Barbuda,ATG,1972,2.738894
Antigua and Barbuda,ATG,1973,2.5549598
Antigua and Barbuda,ATG,1974,2.3939364
Antigua and Barbuda,ATG,1975,2.2472472
Antigua and Barbuda,ATG,1976,2.1069274
Antigua and Barbuda,ATG,1977,1.9681561
Antigua and Barbuda,ATG,1978,1.8332016
Antigua and Barbuda,ATG,1979,1.7055355
Antigua and Barbuda,ATG,1980,1.5902498
Antigua and Barbuda,ATG,1981,1.491691
Antigua and Barbuda,ATG,1982,1.4117827
Antigua and Barbuda,ATG,1983,1.3511717
Antigua and Barbuda,ATG,1984,1.3100488
Antigua and Barbuda,ATG,1985,1.2853178
Antigua and Barbuda,ATG,1986,1.274998
Antigua and Barbuda,ATG,1987,1.2786124
Antigua and Barbuda,ATG,1988,1.2927047
Antigua and Barbuda,ATG,1989,1.3169789
Antigua and Barbuda,ATG,1990,1.3487004
Antigua and Barbuda,ATG,1991,1.3862901
Antigua and Barbuda,ATG,1992,1.4268261
Antigua and Barbuda,ATG,1993,1.4681957
Antigua and Barbuda,ATG,1994,1.5050962
Antigua and Barbuda,ATG,1995,1.5346383
Antigua and Barbuda,ATG,1996,1.5503933
Antigua and Barbuda,ATG,1997,1.5528519
Antigua and Barbuda,ATG,1998,1.5419912
Antigua and Barbuda,ATG,1999,1.5203667
Antigua and Barbuda,ATG,2000,1.4924142
Antigua and Barbuda,ATG,2001,1.4609921
Antigua and Barbuda,ATG,2002,1.4268248
Antigua and Barbuda,ATG,2003,1.3927464
Antigua and Barbuda,ATG,2004,1.3599178
Antigua and Barbuda,ATG,2005,1.3282491
Antigua and Barbuda,ATG,2006,1.2964323
Antigua and Barbuda,ATG,2007,1.2677228
Antigua and Barbuda,ATG,2008,1.2403617
Antigua and Barbuda,ATG,2009,1.2153578
Antigua and Barbuda,ATG,2010,1.1926371
Antigua and Barbuda,ATG,2011,1.170051
Antigua and Barbuda,ATG,2012,1.1479075
Antigua and Barbuda,ATG,2013,1.1292684
Antigua and Barbuda,ATG,2014,1.1112854
Antigua and Barbuda,ATG,2015,1.0931336
Antigua and Barbuda,ATG,2016,1.0755732
Antigua and Barbuda,ATG,2017,1.058777
Antigua and Barbuda,ATG,2018,1.0409529
Antigua and Barbuda,ATG,2019,1.021104
Antigua and Barbuda,ATG,2020,0.99938345
Antigua and Barbuda,ATG,2021,0.9755851
Antigua and Barbuda,ATG,2022,0.95042974
Argentina,ARG,1969,7.24851
Argentina,ARG,1970,7.1703653
Argentina,ARG,1971,7.0873747
Argentina,ARG,1972,6.9765983
Argentina,ARG,1973,6.819211
Argentina,ARG,1974,6.6093
Argentina,ARG,1975,6.3297668
Argentina,ARG,1976,5.978828
Argentina,ARG,1977,5.5697756
Argentina,ARG,1978,5.120016
Argentina,ARG,1979,4.673809
Argentina,ARG,1980,4.275137
Argentina,ARG,1981,3.9410927
Argentina,ARG,1982,3.656873
Argentina,ARG,1983,3.4104247
Argentina,ARG,1984,3.2058253
Argentina,ARG,1985,3.0557284
Argentina,ARG,1986,2.960153
Argentina,ARG,1987,2.9101622
Argentina,ARG,1988,2.8958483
Argentina,ARG,1989,2.8953068
Argentina,ARG,1990,2.8802798
Argentina,ARG,1991,2.8338027
Argentina,ARG,1992,2.757814
Argentina,ARG,1993,2.6572747
Argentina,ARG,1994,2.5423746
Argentina,ARG,1995,2.4224164
Argentina,ARG,1996,2.3038297
Argentina,ARG,1997,2.1917913
Argentina,ARG,1998,2.0913885
Argentina,ARG,1999,2.0051236
Argentina,ARG,2000,1.9365242
Argentina,ARG,2001,1.8833716
Argentina,ARG,2002,1.8352196
Argentina,ARG,2003,1.7827699
Argentina,ARG,2004,1.7268578
Argentina,ARG,2005,1.6732817
Argentina,ARG,2006,1.6247237
Argentina,ARG,2007,1.580643
Argentina,ARG,2008,1.5392352
Argentina,ARG,2009,1.4964536
Argentina,ARG,2010,1.4474417
Argentina,ARG,2011,1.3912381
Argentina,ARG,2012,1.3319609
Argentina,ARG,2013,1.2753128
Argentina,ARG,2014,1.2229601
Argentina,ARG,2015,1.1759126
Argentina,ARG,2016,1.1351912
Argentina,ARG,2017,1.0982908
Argentina,ARG,2018,1.0644995
Argentina,ARG,2019,1.0315083
Argentina,ARG,2020,1.0016301
Argentina,ARG,2021,0.97175854
Argentina,ARG,2022,0.9435239
Armenia,ARM,1976,8.699362
Armenia,ARM,1977,8.345608
Armenia,ARM,1978,8.000736
Armenia,ARM,1979,7.669589
Armenia,ARM,1980,7.3544893
Armenia,ARM,1981,7.0579057
Armenia,ARM,1982,6.773776
Armenia,ARM,1983,6.5052886
Armenia,ARM,1984,6.247262
Armenia,ARM,1985,6.000573
Armenia,ARM,1986,5.765266
Armenia,ARM,1987,5.5333138
Armenia,ARM,1988,9.916895
Armenia,ARM,1989,5.095707
Armenia,ARM,1990,4.883883
Armenia,ARM,1991,4.677288
Armenia,ARM,1992,4.47038
Armenia,ARM,1993,4.270646
Armenia,ARM,1994,4.075528
Armenia,ARM,1995,3.8879914
Armenia,ARM,1996,3.707028
Armenia,ARM,1997,3.5354629
Armenia,ARM,1998,3.3700206
Armenia,ARM,1999,3.2116246
Armenia,ARM,2000,3.059111
Armenia,ARM,2001,2.9134624
Armenia,ARM,2002,2.774214
Armenia,ARM,2003,2.6387086
Armenia,ARM,2004,2.5091786
Armenia,ARM,2005,2.3847854
Armenia,ARM,2006,2.2685268
Armenia,ARM,2007,2.1581595
Armenia,ARM,2008,2.0527716
Armenia,ARM,2009,1.9532334
Armenia,ARM,2010,1.8574622
Armenia,ARM,2011,1.7654841
Armenia,ARM,2012,1.6792017
Armenia,ARM,2013,1.5979998
Armenia,ARM,2014,1.5202264
Armenia,ARM,2015,1.4470651
Armenia,ARM,2016,1.3767346
Armenia,ARM,2017,1.3119541
Armenia,ARM,2018,1.2497162
Armenia,ARM,2019,1.1901386
Armenia,ARM,2020,1.1337883
Armenia,ARM,2021,1.0795308
Armenia,ARM,2022,1.0282857
Asia,,1942,57.14969
Asia,,1943,53.913696
Asia,,1944,50.90387
Asia,,1945,47.079384
Asia,,1946,44.401497
Asia,,1947,41.861454
Asia,,1948,39.48187
Asia,,1949,13.613505
Asia,,1950,24.786627
Asia,,1951,24.20804
Asia,,1952,22.58712
Asia,,1953,24.226242
Asia,,1954,23.49959
Asia,,1955,22.891394
Asia,,1956,22.292175
Asia,,1957,22.059566
Asia,,1958,21.557308
Asia,,1959,21.089043
Asia,,1960,20.636992
Asia,,1961,20.213745
Asia,,1962,19.815418
Asia,,1963,19.434353
Asia,,1964,18.70826
Asia,,1965,18.703173
Asia,,1966,18.047789
Asia,,1967,17.734484
Asia,,1968,17.448643
Asia,,1969,15.006591
Asia,,1970,14.735579
Asia,,1971,14.668253
Asia,,1972,13.798817
Asia,,1973,13.385584
Asia,,1974,12.966697
Asia,,1975,12.528603
Asia,,1976,12.101028
Asia,,1977,11.682032
Asia,,1978,11.32313
Asia,,1979,10.930084
Asia,,1980,10.558495
Asia,,1981,10.213568
Asia,,1982,9.907235
Asia,,1983,9.625081
Asia,,1984,9.378402
Asia,,1985,9.154759
Asia,,1986,8.941197
Asia,,1987,8.735638
Asia,,1988,8.539997
Asia,,1989,8.33943
Asia,,1990,8.137858
Asia,,1991,7.936104
Asia,,1992,7.727894
Asia,,1993,7.513549
Asia,,1994,7.2908044
Asia,,1995,7.1033816
Asia,,1996,6.8642936
Asia,,1997,6.6203895
Asia,,1998,6.3702374
Asia,,1999,6.1149645
Asia,,2000,5.8553877
Asia,,2001,5.593762
Asia,,2002,5.3375626
Asia,,2003,5.048548
Asia,,2004,4.851443
Asia,,2005,4.5812607
Asia,,2006,4.363878
Asia,,2007,4.157933
Asia,,2008,3.99971
Asia,,2009,3.7804615
Asia,,2010,3.5977056
Asia,,2011,3.4296122
Asia,,2012,3.275077
Asia,,2013,3.1174302
Asia,,2014,2.9651952
Asia,,2015,2.8230321
Asia,,2016,2.685811
Asia,,2017,2.5623121
Asia,,2018,2.4494524
Asia,,2019,2.3362093
Asia,,2020,2.2331877
Asia,,2021,2.1433344
Asia,,2022,2.0592475
Australia,AUS,1949,3.2176788
Australia,AUS,1950,3.1606574
Australia,AUS,1951,3.0966144
Australia,AUS,1952,3.0257578
Australia,AUS,1953,2.9498608
Australia,AUS,1954,2.8726177
Australia,AUS,1955,2.7973595
Australia,AUS,1956,2.727369
Australia,AUS,1957,2.6627102
Australia,AUS,1958,2.601741
Australia,AUS,1959,2.5426247
Australia,AUS,1960,2.4850318
Australia,AUS,1961,2.4274735
Australia,AUS,1962,2.371221
Australia,AUS,1963,2.3182213
Australia,AUS,1964,2.271717
Australia,AUS,1965,2.2347817
Australia,AUS,1966,2.2098157
Australia,AUS,1967,2.1967669
Australia,AUS,1968,2.1877875
Australia,AUS,1969,2.1731408
Australia,AUS,1970,2.1455367
Australia,AUS,1971,2.099153
Australia,AUS,1972,2.0303319
Australia,AUS,1973,1.9424063
Australia,AUS,1974,1.8397385
Australia,AUS,1975,1.7300851
Australia,AUS,1976,1.622688
Australia,AUS,1977,1.5237682
Australia,AUS,1978,1.4363973
Australia,AUS,1979,1.3628185
Australia,AUS,1980,1.3026615
Australia,AUS,1981,1.2548492
Australia,AUS,1982,1.2172883
Australia,AUS,1983,1.1861857
Australia,AUS,1984,1.157913
Australia,AUS,1985,1.1291435
Australia,AUS,1986,1.0974122
Australia,AUS,1987,1.060736
Australia,AUS,1988,1.0185046
Australia,AUS,1989,0.97065353
Australia,AUS,1990,0.9187859
Australia,AUS,1991,0.8661086
Australia,AUS,1992,0.81543076
Australia,AUS,1993,0.7698316
Australia,AUS,1994,0.73172635
Australia,AUS,1995,0.7012359
Australia,AUS,1996,0.67753166
Australia,AUS,1997,0.65943146
Australia,AUS,1998,0.6446446
Australia,AUS,1999,0.63108975
Australia,AUS,2000,0.6188251
Australia,AUS,2001,0.60801315
Australia,AUS,2002,0.59885085
Australia,AUS,2003,0.59074175
Australia,AUS,2004,0.5824358
Australia,AUS,2005,0.57248294
Australia,AUS,2006,0.5591203
Australia,AUS,2007,0.5415689
Australia,AUS,2008,0.5212336
Australia,AUS,2009,0.4993802
Australia,AUS,2010,0.47668344
Australia,AUS,2011,0.45388684
Australia,AUS,2012,0.43187118
Australia,AUS,2013,0.41269597
Australia,AUS,2014,0.39807123
Australia,AUS,2015,0.38801497
Australia,AUS,2016,0.3819949
Australia,AUS,2017,0.37935007
Australia,AUS,2018,0.37860987
Australia,AUS,2019,0.37830085
Australia,AUS,2020,0.37782514
Australia,AUS,2021,0.37716106
Australia,AUS,2022,0.3755792
Australia and New Zealand,,1990,0.95565367
Australia and New Zealand,,1991,0.9015093
Australia and New Zealand,,1992,0.84941924
Australia and New Zealand,,1993,0.8032115
Australia and New Zealand,,1994,0.7640742
Australia and New Zealand,,1995,0.7325897
Australia and New Zealand,,1996,0.70734483
Australia and New Zealand,,1997,0.6873371
Australia and New Zealand,,1998,0.6699721
Australia and New Zealand,,1999,0.6549457
Australia and New Zealand,,2000,0.6410565
Australia and New Zealand,,2001,0.6286546
Australia and New Zealand,,2002,0.617489
Australia and New Zealand,,2003,0.60835576
Australia and New Zealand,,2004,0.59944946
Australia and New Zealand,,2005,0.58885694
Australia and New Zealand,,2006,0.5761
Australia and New Zealand,,2007,0.56040275
Australia and New Zealand,,2008,0.54217494
Australia and New Zealand,,2009,0.5224033
Australia and New Zealand,,2010,0.5021295
Australia and New Zealand,,2011,0.48085886
Australia and New Zealand,,2012,0.45968613
Australia and New Zealand,,2013,0.44032645
Australia and New Zealand,,2014,0.42509446
Australia and New Zealand,,2015,0.4146053
Australia and New Zealand,,2016,0.40640673
Australia and New Zealand,,2017,0.40197653
Australia and New Zealand,,2018,0.3980609
Australia and New Zealand,,2019,0.39752895
Australia and New Zealand,,2020,0.39611563
Australia and New Zealand,,2021,0.39395934
Australia and New Zealand,,2022,0.39090547
Austria,AUT,1949,7.6682153
Austria,AUT,1950,7.1677604
Austria,AUT,1951,6.7012568
Austria,AUT,1952,6.2808504
Austria,AUT,1953,5.919745
Austria,AUT,1954,5.6250334
Austria,AUT,1955,5.3807673
Austria,AUT,1956,5.172962
Austria,AUT,1957,4.98006
Austria,AUT,1958,4.7734184
Austria,AUT,1959,4.5355406
Austria,AUT,1960,4.277146
Austria,AUT,1961,4.024929
Austria,AUT,1962,3.7956512
Austria,AUT,1963,3.5929024
Austria,AUT,1964,3.420012
Austria,AUT,1965,3.2736504
Austria,AUT,1966,3.150624
Austria,AUT,1967,3.0510688
Austria,AUT,1968,2.979261
Austria,AUT,1969,2.9361005
Austria,AUT,1970,2.9082627
Austria,AUT,1971,2.8686113
Austria,AUT,1972,2.7974236
Austria,AUT,1973,2.6782656
Austria,AUT,1974,2.5049038
Austria,AUT,1975,2.3039258
Austria,AUT,1976,2.1115837
Austria,AUT,1977,1.9463451
Austria,AUT,1978,1.8120302
Austria,AUT,1979,1.7082752
Austria,AUT,1980,1.6251764
Austria,AUT,1981,1.5497013
Austria,AUT,1982,1.4756433
Austria,AUT,1983,1.4024246
Austria,AUT,1984,1.3308145
Austria,AUT,1985,1.2599189
Austria,AUT,1986,1.1876118
Austria,AUT,1987,1.1159348
Austria,AUT,1988,1.0511401
Austria,AUT,1989,0.99802554
Austria,AUT,1990,0.9519882
Austria,AUT,1991,0.9046524
Austria,AUT,1992,0.85202324
Austria,AUT,1993,0.7949368
Austria,AUT,1994,0.73655915
Austria,AUT,1995,0.6818212
Austria,AUT,1996,0.63613576
Austria,AUT,1997,0.6021295
Austria,AUT,1998,0.5777214
Austria,AUT,1999,0.56116426
Austria,AUT,2000,0.5499205
