Entity,Code,Year,Deaths - Sex: all - Age: 0 - Variant: estimates
Afghanistan,AFG,2022,65872
Afghanistan,AFG,2023,64348
Africa (UN),,1950,1863884
Africa (UN),,1951,1882222
Africa (UN),,1952,1902289
Africa (UN),,1953,1922249
Africa (UN),,1954,1939697
Africa (UN),,1955,1955525
Africa (UN),,1956,1971963
Africa (UN),,1957,2026278
Africa (UN),,1958,2040918
Africa (UN),,1959,2017539
Africa (UN),,1960,2038952
Africa (UN),,1961,2059315
Africa (UN),,1962,2085948
Africa (UN),,1963,2108811
Africa (UN),,1964,2129564
Africa (UN),,1965,2153323
Africa (UN),,1966,2194240
Africa (UN),,1967,2207272
Africa (UN),,1968,2229748
Africa (UN),,1969,2260117
Africa (UN),,1970,2289001
Africa (UN),,1971,2318765
Africa (UN),,1972,2357043
Africa (UN),,1973,2377167
Africa (UN),,1974,2427311
Africa (UN),,1975,2455827
Africa (UN),,1976,2451982
Africa (UN),,1977,2471046
Africa (UN),,1978,2491165
Africa (UN),,1979,2509286
Africa (UN),,1980,2530657
Africa (UN),,1981,2544968
Africa (UN),,1982,2558094
Africa (UN),,1983,2682759
Africa (UN),,1984,2689165
Africa (UN),,1985,2692189
Africa (UN),,1986,2678662
Africa (UN),,1987,2612575
Africa (UN),,1988,2706555
Africa (UN),,1989,2645420
Africa (UN),,1990,2668637
Africa (UN),,1991,2733525
Africa (UN),,1992,2753226
Africa (UN),,1993,2722892
Africa (UN),,1994,2756696
Africa (UN),,1995,2748900
Africa (UN),,1996,2769756
Africa (UN),,1997,2769706
Africa (UN),,1998,2786906
Africa (UN),,1999,2755602
Africa (UN),,2000,2738819
Africa (UN),,2001,2719982
Africa (UN),,2002,2697846
Africa (UN),,2003,2669466
Africa (UN),,2004,2639313
Africa (UN),,2005,2612990
Africa (UN),,2006,2577537
Africa (UN),,2007,2541487
Africa (UN),,2008,2511527
Africa (UN),,2009,2501511
Africa (UN),,2010,2448885
Africa (UN),,2011,2469816
Africa (UN),,2012,2379538
Africa (UN),,2013,2341130
Africa (UN),,2014,2336094
Africa (UN),,2015,2310844
Africa (UN),,2016,2275435
Africa (UN),,2017,2252168
Africa (UN),,2018,2182003
Africa (UN),,2019,2148083
Africa (UN),,2020,2094288.1
Africa (UN),,2021,2079690
Africa (UN),,2022,2095164
Africa (UN),,2023,2027521
Albania,ALB,1950,9620
Albania,ALB,1951,9727
Albania,ALB,1952,9853
Albania,ALB,1953,10097
Albania,ALB,1954,10278
Albania,ALB,1955,10309
Albania,ALB,1956,10147
Albania,ALB,1957,10219
Albania,ALB,1958,10250
Albania,ALB,1959,10226
Albania,ALB,1960,10084
Albania,ALB,1961,9796
Albania,ALB,1962,9130
Albania,ALB,1963,8694
Albania,ALB,1964,8222
Albania,ALB,1965,7750
Albania,ALB,1966,7375
Albania,ALB,1967,7128
Albania,ALB,1968,6910
Albania,ALB,1969,6594
Albania,ALB,1970,6113
Albania,ALB,1971,5768
Albania,ALB,1972,5446
Albania,ALB,1973,5126
Albania,ALB,1974,4858
Albania,ALB,1975,4618
Albania,ALB,1976,4353
Albania,ALB,1977,4148
Albania,ALB,1978,3945
Albania,ALB,1979,3806
Albania,ALB,1980,3617
Albania,ALB,1981,3545
Albania,ALB,1982,3523
Albania,ALB,1983,3487
Albania,ALB,1984,3459
Albania,ALB,1985,3415
Albania,ALB,1986,3336
Albania,ALB,1987,3244
Albania,ALB,1988,3162
Albania,ALB,1989,3097
Albania,ALB,1990,2965
Albania,ALB,1991,2777
Albania,ALB,1992,2592
Albania,ALB,1993,2399
Albania,ALB,1994,2261
Albania,ALB,1995,2113
Albania,ALB,1996,1936
Albania,ALB,1997,1792
Albania,ALB,1998,1571
Albania,ALB,1999,1409
Albania,ALB,2000,1269
Albania,ALB,2001,1141
Albania,ALB,2002,1011.00006
Albania,ALB,2003,941
Albania,ALB,2004,827
Albania,ALB,2005,724
Albania,ALB,2006,626
Albania,ALB,2007,551
Albania,ALB,2008,493
Albania,ALB,2009,453
Albania,ALB,2010,416
Albania,ALB,2011,384
Albania,ALB,2012,372
Albania,ALB,2013,359
Albania,ALB,2014,341
Albania,ALB,2015,313
Albania,ALB,2016,291
Albania,ALB,2017,274
Albania,ALB,2018,259
Albania,ALB,2019,252.99998
Albania,ALB,2020,246
Albania,ALB,2021,243
Albania,ALB,2022,241
Albania,ALB,2023,235
Algeria,DZA,1950,74078
Algeria,DZA,1951,77950
Algeria,DZA,1952,78849
Algeria,DZA,1953,79839
Algeria,DZA,1954,81147
Algeria,DZA,1955,82294
Algeria,DZA,1956,83546
Algeria,DZA,1957,84806
Algeria,DZA,1958,86239
Algeria,DZA,1959,87428
Algeria,DZA,1960,88719
Algeria,DZA,1961,90277
Algeria,DZA,1962,94269
Algeria,DZA,1963,94323
Algeria,DZA,1964,95569
Algeria,DZA,1965,96341
Algeria,DZA,1966,94927
Algeria,DZA,1967,96159
Algeria,DZA,1968,97621
Algeria,DZA,1969,98976
Algeria,DZA,1970,100027
Algeria,DZA,1971,100288
Algeria,DZA,1972,100030
Algeria,DZA,1973,99541
Algeria,DZA,1974,98753
Algeria,DZA,1975,97584
Algeria,DZA,1976,99027
Algeria,DZA,1977,96781
Algeria,DZA,1978,93264
Algeria,DZA,1979,89641
Algeria,DZA,1980,85316
Algeria,DZA,1981,78947
Algeria,DZA,1982,71776
Algeria,DZA,1983,64427
Algeria,DZA,1984,57383
Algeria,DZA,1985,51166
Algeria,DZA,1986,45094
Algeria,DZA,1987,39997
Algeria,DZA,1988,36505
Algeria,DZA,1989,34125
Algeria,DZA,1990,32312
Algeria,DZA,1991,31659
Algeria,DZA,1992,31642
Algeria,DZA,1993,30857
Algeria,DZA,1994,30000
Algeria,DZA,1995,27330
Algeria,DZA,1996,25064
Algeria,DZA,1997,23260
Algeria,DZA,1998,21764
Algeria,DZA,1999,20842
Algeria,DZA,2000,20563
Algeria,DZA,2001,20198
Algeria,DZA,2002,19234
Algeria,DZA,2003,19227
Algeria,DZA,2004,19262
Algeria,DZA,2005,19494
Algeria,DZA,2006,19785
Algeria,DZA,2007,20148
Algeria,DZA,2008,20527
Algeria,DZA,2009,20647
Algeria,DZA,2010,20733
Algeria,DZA,2011,20787
Algeria,DZA,2012,21426
Algeria,DZA,2013,21408
Algeria,DZA,2014,21855
Algeria,DZA,2015,21799
Algeria,DZA,2016,21570
Algeria,DZA,2017,21270
Algeria,DZA,2018,20512
Algeria,DZA,2019,19851
Algeria,DZA,2020,18969
Algeria,DZA,2021,17966
Algeria,DZA,2022,17051
Algeria,DZA,2023,16174.999
American Samoa,ASM,1950,62
American Samoa,ASM,1951,61
American Samoa,ASM,1952,58
American Samoa,ASM,1953,54
American Samoa,ASM,1954,51
American Samoa,ASM,1955,48
American Samoa,ASM,1956,45
American Samoa,ASM,1957,43
American Samoa,ASM,1958,41
American Samoa,ASM,1959,39
American Samoa,ASM,1960,37
American Samoa,ASM,1961,35
American Samoa,ASM,1962,35
American Samoa,ASM,1963,35
American Samoa,ASM,1964,34
American Samoa,ASM,1965,34
American Samoa,ASM,1966,46
American Samoa,ASM,1967,31
American Samoa,ASM,1968,30
American Samoa,ASM,1969,29
American Samoa,ASM,1970,28
American Samoa,ASM,1971,27
American Samoa,ASM,1972,25
American Samoa,ASM,1973,24
American Samoa,ASM,1974,23
American Samoa,ASM,1975,22
American Samoa,ASM,1976,21
American Samoa,ASM,1977,21
American Samoa,ASM,1978,20
American Samoa,ASM,1979,19
American Samoa,ASM,1980,18
American Samoa,ASM,1981,18
American Samoa,ASM,1982,18
American Samoa,ASM,1983,17
American Samoa,ASM,1984,17
American Samoa,ASM,1985,18
American Samoa,ASM,1986,18
American Samoa,ASM,1987,19
American Samoa,ASM,1988,20
American Samoa,ASM,1989,21
American Samoa,ASM,1990,22
American Samoa,ASM,1991,22
American Samoa,ASM,1992,23
American Samoa,ASM,1993,23
American Samoa,ASM,1994,22
American Samoa,ASM,1995,21
American Samoa,ASM,1996,20
American Samoa,ASM,1997,19
American Samoa,ASM,1998,19
American Samoa,ASM,1999,19
American Samoa,ASM,2000,18
American Samoa,ASM,2001,18
American Samoa,ASM,2002,17
American Samoa,ASM,2003,18
American Samoa,ASM,2004,16
American Samoa,ASM,2005,15
American Samoa,ASM,2006,14
American Samoa,ASM,2007,13
American Samoa,ASM,2008,12
American Samoa,ASM,2009,14
American Samoa,ASM,2010,11
American Samoa,ASM,2011,11
American Samoa,ASM,2012,10
American Samoa,ASM,2013,10
American Samoa,ASM,2014,9
American Samoa,ASM,2015,9
American Samoa,ASM,2016,9
American Samoa,ASM,2017,8
American Samoa,ASM,2018,8
American Samoa,ASM,2019,7
American Samoa,ASM,2020,7
American Samoa,ASM,2021,7
American Samoa,ASM,2022,6
American Samoa,ASM,2023,6
Americas (UN),,1950,1159180
Americas (UN),,1951,1165212
Americas (UN),,1952,1172664
Americas (UN),,1953,1172464
Americas (UN),,1954,1172368
Americas (UN),,1955,1171766
Americas (UN),,1956,1174450
Americas (UN),,1957,1175852
Americas (UN),,1958,1175591
Americas (UN),,1959,1169674
Americas (UN),,1960,1165582
Americas (UN),,1961,1156799
Americas (UN),,1962,1150123
Americas (UN),,1963,1142290
Americas (UN),,1964,1128642
Americas (UN),,1965,1105249
Americas (UN),,1966,1082471
Americas (UN),,1967,1058232
Americas (UN),,1968,1039317
Americas (UN),,1969,1024123.06
Americas (UN),,1970,1018277
Americas (UN),,1971,987590
Americas (UN),,1972,966351
Americas (UN),,1973,946348
Americas (UN),,1974,929305
Americas (UN),,1975,907615
Americas (UN),,1976,891569
Americas (UN),,1977,871496
Americas (UN),,1978,852826
Americas (UN),,1979,833205
Americas (UN),,1980,811201
Americas (UN),,1981,786951
Americas (UN),,1982,766989
Americas (UN),,1983,739112
Americas (UN),,1984,714141
Americas (UN),,1985,692046
Americas (UN),,1986,665988
Americas (UN),,1987,641379
Americas (UN),,1988,618489
Americas (UN),,1989,597337
Americas (UN),,1990,572053
Americas (UN),,1991,547296
Americas (UN),,1992,521091.97
Americas (UN),,1993,498635
Americas (UN),,1994,475197
Americas (UN),,1995,451681
Americas (UN),,1996,428685
Americas (UN),,1997,407686
Americas (UN),,1998,391148
Americas (UN),,1999,369034
Americas (UN),,2000,349878
Americas (UN),,2001,330374
Americas (UN),,2002,313302
Americas (UN),,2003,297216
Americas (UN),,2004,284509
Americas (UN),,2005,272153
Americas (UN),,2006,260842.98
Americas (UN),,2007,251155
Americas (UN),,2008,241105
Americas (UN),,2009,231513
Americas (UN),,2010,228317
Americas (UN),,2011,214969
Americas (UN),,2012,207893
Americas (UN),,2013,201631
Americas (UN),,2014,196318
Americas (UN),,2015,190878
Americas (UN),,2016,184100
Americas (UN),,2017,178208
Americas (UN),,2018,172711
Americas (UN),,2019,165986
Americas (UN),,2020,156936
Americas (UN),,2021,153515
Americas (UN),,2022,149303
Americas (UN),,2023,143741
Andorra,AND,1950,4
Andorra,AND,1951,4
Andorra,AND,1952,4
Andorra,AND,1953,3
Andorra,AND,1954,3
Andorra,AND,1955,3
Andorra,AND,1956,3
Andorra,AND,1957,4
Andorra,AND,1958,4
Andorra,AND,1959,4
Andorra,AND,1960,4
Andorra,AND,1961,5
Andorra,AND,1962,5
Andorra,AND,1963,5
Andorra,AND,1964,5
Andorra,AND,1965,5
Andorra,AND,1966,6
Andorra,AND,1967,6
Andorra,AND,1968,6
Andorra,AND,1969,6
Andorra,AND,1970,7
Andorra,AND,1971,7
Andorra,AND,1972,7
Andorra,AND,1973,8
Andorra,AND,1974,8
Andorra,AND,1975,7
Andorra,AND,1976,7
Andorra,AND,1977,7
Andorra,AND,1978,6
Andorra,AND,1979,6
Andorra,AND,1980,6
Andorra,AND,1981,6
Andorra,AND,1982,6
Andorra,AND,1983,6
Andorra,AND,1984,6
Andorra,AND,1985,6
Andorra,AND,1986,6
Andorra,AND,1987,6
Andorra,AND,1988,6
Andorra,AND,1989,6
Andorra,AND,1990,6
Andorra,AND,1991,6
Andorra,AND,1992,6
Andorra,AND,1993,6
Andorra,AND,1994,6
Andorra,AND,1995,6
Andorra,AND,1996,6
Andorra,AND,1997,6
Andorra,AND,1998,6
Andorra,AND,1999,6
Andorra,AND,2000,5
Andorra,AND,2001,5
Andorra,AND,2002,4
Andorra,AND,2003,4
Andorra,AND,2004,5
Andorra,AND,2005,5
Andorra,AND,2006,5
Andorra,AND,2007,4
Andorra,AND,2008,5
Andorra,AND,2009,4
Andorra,AND,2010,4
Andorra,AND,2011,4
Andorra,AND,2012,4
Andorra,AND,2013,3
Andorra,AND,2014,3
Andorra,AND,2015,3
Andorra,AND,2016,3
Andorra,AND,2017,3
Andorra,AND,2018,3
Andorra,AND,2019,3
Andorra,AND,2020,3
Andorra,AND,2021,3
Andorra,AND,2022,3
Andorra,AND,2023,3
Angola,AGO,1950,36087
Angola,AGO,1951,37067
Angola,AGO,1952,38163
Angola,AGO,1953,39353
Angola,AGO,1954,40511
Angola,AGO,1955,41624
Angola,AGO,1956,42679
Angola,AGO,1957,43667
Angola,AGO,1958,44581
Angola,AGO,1959,45420
Angola,AGO,1960,46185
Angola,AGO,1961,46880
Angola,AGO,1962,47240
Angola,AGO,1963,47465
Angola,AGO,1964,47630
Angola,AGO,1965,47735
Angola,AGO,1966,47777
Angola,AGO,1967,47750
Angola,AGO,1968,47645
Angola,AGO,1969,47468
Angola,AGO,1970,47226
Angola,AGO,1971,46942
Angola,AGO,1972,47073
Angola,AGO,1973,47860
Angola,AGO,1974,48910
Angola,AGO,1975,50451
Angola,AGO,1976,51780
Angola,AGO,1977,52908
Angola,AGO,1978,54274
Angola,AGO,1979,55812
Angola,AGO,1980,57497
Angola,AGO,1981,59406
Angola,AGO,1982,61429
Angola,AGO,1983,64588.996
Angola,AGO,1984,67017
Angola,AGO,1985,69521
Angola,AGO,1986,71945
Angola,AGO,1987,76354
Angola,AGO,1988,78086
Angola,AGO,1989,80277
Angola,AGO,1990,82443
Angola,AGO,1991,82664
Angola,AGO,1992,86732
Angola,AGO,1993,86353
Angola,AGO,1994,86828
Angola,AGO,1995,88705
Angola,AGO,1996,90329
Angola,AGO,1997,91753
Angola,AGO,1998,94693
Angola,AGO,1999,94733
Angola,AGO,2000,96733
Angola,AGO,2001,96746
Angola,AGO,2002,98019
Angola,AGO,2003,96232
Angola,AGO,2004,96006
Angola,AGO,2005,95352
Angola,AGO,2006,94454
Angola,AGO,2007,92649
Angola,AGO,2008,90680
Angola,AGO,2009,88615
Angola,AGO,2010,86260
Angola,AGO,2011,83928
Angola,AGO,2012,81630
Angola,AGO,2013,79571
Angola,AGO,2014,77672
Angola,AGO,2015,75831
Angola,AGO,2016,74149
Angola,AGO,2017,72725
Angola,AGO,2018,71570
Angola,AGO,2019,70581
Angola,AGO,2020,69768
Angola,AGO,2021,68952
Angola,AGO,2022,67964
Angola,AGO,2023,66996
Anguilla,AIA,1950,26
Anguilla,AIA,1951,26
Anguilla,AIA,1952,27
Anguilla,AIA,1953,27
Anguilla,AIA,1954,26
Anguilla,AIA,1955,25
Anguilla,AIA,1956,23
Anguilla,AIA,1957,22
Anguilla,AIA,1958,20
Anguilla,AIA,1959,19
Anguilla,AIA,1960,18
Anguilla,AIA,1961,17
Anguilla,AIA,1962,16
Anguilla,AIA,1963,16
Anguilla,AIA,1964,15
Anguilla,AIA,1965,14
Anguilla,AIA,1966,13
Anguilla,AIA,1967,13
Anguilla,AIA,1968,12
Anguilla,AIA,1969,11
Anguilla,AIA,1970,10
Anguilla,AIA,1971,9
Anguilla,AIA,1972,8
Anguilla,AIA,1973,7
Anguilla,AIA,1974,7
Anguilla,AIA,1975,6
Anguilla,AIA,1976,6
Anguilla,AIA,1977,5
Anguilla,AIA,1978,5
Anguilla,AIA,1979,5
Anguilla,AIA,1980,4
Anguilla,AIA,1981,4
Anguilla,AIA,1982,4
Anguilla,AIA,1983,4
Anguilla,AIA,1984,3
Anguilla,AIA,1985,3
Anguilla,AIA,1986,3
Anguilla,AIA,1987,3
Anguilla,AIA,1988,3
Anguilla,AIA,1989,3
Anguilla,AIA,1990,3
Anguilla,AIA,1991,3
Anguilla,AIA,1992,2
Anguilla,AIA,1993,2
Anguilla,AIA,1994,2
Anguilla,AIA,1995,2
Anguilla,AIA,1996,2
Anguilla,AIA,1997,2
Anguilla,AIA,1998,2
Anguilla,AIA,1999,2
Anguilla,AIA,2000,2
Anguilla,AIA,2001,2
Anguilla,AIA,2002,2
Anguilla,AIA,2003,2
Anguilla,AIA,2004,1
Anguilla,AIA,2005,1
Anguilla,AIA,2006,1
Anguilla,AIA,2007,1
Anguilla,AIA,2008,1
Anguilla,AIA,2009,1
Anguilla,AIA,2010,1
Anguilla,AIA,2011,1
Anguilla,AIA,2012,1
Anguilla,AIA,2013,1
Anguilla,AIA,2014,1
Anguilla,AIA,2015,1
Anguilla,AIA,2016,1
Anguilla,AIA,2017,1
Anguilla,AIA,2018,1
Anguilla,AIA,2019,1
Anguilla,AIA,2020,1
Anguilla,AIA,2021,1
Anguilla,AIA,2022,1
Anguilla,AIA,2023,1
Antigua and Barbuda,ATG,1950,135
Antigua and Barbuda,ATG,1951,135
Antigua and Barbuda,ATG,1952,133
Antigua and Barbuda,ATG,1953,132
Antigua and Barbuda,ATG,1954,130
Antigua and Barbuda,ATG,1955,129
Antigua and Barbuda,ATG,1956,127.00001
Antigua and Barbuda,ATG,1957,125
Antigua and Barbuda,ATG,1958,122
Antigua and Barbuda,ATG,1959,119
Antigua and Barbuda,ATG,1960,115
Antigua and Barbuda,ATG,1961,110
Antigua and Barbuda,ATG,1962,104
Antigua and Barbuda,ATG,1963,98
Antigua and Barbuda,ATG,1964,91
Antigua and Barbuda,ATG,1965,82
Antigua and Barbuda,ATG,1966,72
Antigua and Barbuda,ATG,1967,64
Antigua and Barbuda,ATG,1968,56
Antigua and Barbuda,ATG,1969,49
Antigua and Barbuda,ATG,1970,43
Antigua and Barbuda,ATG,1971,38
Antigua and Barbuda,ATG,1972,35
Antigua and Barbuda,ATG,1973,31
Antigua and Barbuda,ATG,1974,28
Antigua and Barbuda,ATG,1975,25
Antigua and Barbuda,ATG,1976,25
Antigua and Barbuda,ATG,1977,24
Antigua and Barbuda,ATG,1978,22
Antigua and Barbuda,ATG,1979,21
Antigua and Barbuda,ATG,1980,18
Antigua and Barbuda,ATG,1981,17
Antigua and Barbuda,ATG,1982,15
Antigua and Barbuda,ATG,1983,15
Antigua and Barbuda,ATG,1984,14
Antigua and Barbuda,ATG,1985,15
Antigua and Barbuda,ATG,1986,14
Antigua and Barbuda,ATG,1987,14
Antigua and Barbuda,ATG,1988,14
Antigua and Barbuda,ATG,1989,14
Antigua and Barbuda,ATG,1990,14
Antigua and Barbuda,ATG,1991,13
Antigua and Barbuda,ATG,1992,14
Antigua and Barbuda,ATG,1993,14
Antigua and Barbuda,ATG,1994,15
Antigua and Barbuda,ATG,1995,16
Antigua and Barbuda,ATG,1996,18
Antigua and Barbuda,ATG,1997,17
Antigua and Barbuda,ATG,1998,16
Antigua and Barbuda,ATG,1999,16
Antigua and Barbuda,ATG,2000,17
Antigua and Barbuda,ATG,2001,16
Antigua and Barbuda,ATG,2002,15
Antigua and Barbuda,ATG,2003,14
Antigua and Barbuda,ATG,2004,14
Antigua and Barbuda,ATG,2005,13
Antigua and Barbuda,ATG,2006,13
Antigua and Barbuda,ATG,2007,13
Antigua and Barbuda,ATG,2008,14
Antigua and Barbuda,ATG,2009,14
Antigua and Barbuda,ATG,2010,12
Antigua and Barbuda,ATG,2011,12
Antigua and Barbuda,ATG,2012,11
Antigua and Barbuda,ATG,2013,10
Antigua and Barbuda,ATG,2014,10
Antigua and Barbuda,ATG,2015,10
Antigua and Barbuda,ATG,2016,9
Antigua and Barbuda,ATG,2017,9
Antigua and Barbuda,ATG,2018,8
Antigua and Barbuda,ATG,2019,9
Antigua and Barbuda,ATG,2020,9
Antigua and Barbuda,ATG,2021,9
Antigua and Barbuda,ATG,2022,9
Antigua and Barbuda,ATG,2023,8
Argentina,ARG,1950,31770
Argentina,ARG,1951,31629
Argentina,ARG,1952,31371
Argentina,ARG,1953,31078
Argentina,ARG,1954,30748
Argentina,ARG,1955,30498
Argentina,ARG,1956,30394
Argentina,ARG,1957,30246
Argentina,ARG,1958,29998
Argentina,ARG,1959,30081
Argentina,ARG,1960,30133
Argentina,ARG,1961,29960
Argentina,ARG,1962,29888
Argentina,ARG,1963,29696
Argentina,ARG,1964,29341
Argentina,ARG,1965,28713
Argentina,ARG,1966,28257
Argentina,ARG,1967,28265
Argentina,ARG,1968,28467
Argentina,ARG,1969,28738
Argentina,ARG,1970,28957
Argentina,ARG,1971,28948
Argentina,ARG,1972,28902
Argentina,ARG,1973,28786
Argentina,ARG,1974,28678
Argentina,ARG,1975,28539
Argentina,ARG,1976,28215
Argentina,ARG,1977,27802
Argentina,ARG,1978,26934
Argentina,ARG,1979,25862
Argentina,ARG,1980,24704
Argentina,ARG,1981,23491
Argentina,ARG,1982,22390
Argentina,ARG,1983,21387
Argentina,ARG,1984,20658
Argentina,ARG,1985,19949
Argentina,ARG,1986,19515
Argentina,ARG,1987,19143
Argentina,ARG,1988,18960
Argentina,ARG,1989,18640
Argentina,ARG,1990,18495
Argentina,ARG,1991,18179
Argentina,ARG,1992,17793
Argentina,ARG,1993,17417
Argentina,ARG,1994,16982
Argentina,ARG,1995,16323.999
Argentina,ARG,1996,15578
Argentina,ARG,1997,14872
Argentina,ARG,1998,14320
Argentina,ARG,1999,13915
Argentina,ARG,2000,13382
Argentina,ARG,2001,12797
Argentina,ARG,2002,12318
Argentina,ARG,2003,11829
Argentina,ARG,2004,11450
Argentina,ARG,2005,11170
Argentina,ARG,2006,10832
Argentina,ARG,2007,10473
Argentina,ARG,2008,10476
Argentina,ARG,2009,10174
Argentina,ARG,2010,9987
Argentina,ARG,2011,9718
Argentina,ARG,2012,9184
Argentina,ARG,2013,9032
Argentina,ARG,2014,9001
Argentina,ARG,2015,8685
Argentina,ARG,2016,8120
Argentina,ARG,2017,7642
Argentina,ARG,2018,7119
Argentina,ARG,2019,6360
Argentina,ARG,2020,5326
Argentina,ARG,2021,5033
Argentina,ARG,2022,4622
Argentina,ARG,2023,4515
Armenia,ARM,1950,6572
Armenia,ARM,1951,6705
Armenia,ARM,1952,6851
Armenia,ARM,1953,7014
Armenia,ARM,1954,7199
Armenia,ARM,1955,7390
Armenia,ARM,1956,7681
Armenia,ARM,1957,7947
Armenia,ARM,1958,8135
Armenia,ARM,1959,8306
Armenia,ARM,1960,8380
Armenia,ARM,1961,8259
Armenia,ARM,1962,7912
Armenia,ARM,1963,7441
Armenia,ARM,1964,6900
Armenia,ARM,1965,6399
Armenia,ARM,1966,5954
Armenia,ARM,1967,5624
Armenia,ARM,1968,5393
Armenia,ARM,1969,5179
Armenia,ARM,1970,4937
Armenia,ARM,1971,4804
Armenia,ARM,1972,4722
Armenia,ARM,1973,4645
Armenia,ARM,1974,4603
Armenia,ARM,1975,4612
Armenia,ARM,1976,4624
Armenia,ARM,1977,4751
Armenia,ARM,1978,4838
Armenia,ARM,1979,4898
Armenia,ARM,1980,4838
Armenia,ARM,1981,4786
Armenia,ARM,1982,4744
Armenia,ARM,1983,4704
Armenia,ARM,1984,4607
Armenia,ARM,1985,4489
Armenia,ARM,1986,4286
Armenia,ARM,1987,4072
Armenia,ARM,1988,5342
Armenia,ARM,1989,3650
Armenia,ARM,1990,3641
Armenia,ARM,1991,3402
Armenia,ARM,1992,3066
Armenia,ARM,1993,2407
Armenia,ARM,1994,1922
Armenia,ARM,1995,1664
Armenia,ARM,1996,1535
Armenia,ARM,1997,1341
Armenia,ARM,1998,1197
Armenia,ARM,1999,1034
Armenia,ARM,2000,987
Armenia,ARM,2001,929
Armenia,ARM,2002,887
Armenia,ARM,2003,898
Armenia,ARM,2004,883
Armenia,ARM,2005,852
Armenia,ARM,2006,823
Armenia,ARM,2007,804
Armenia,ARM,2008,782
Armenia,ARM,2009,758
Armenia,ARM,2010,722
Armenia,ARM,2011,695
Armenia,ARM,2012,670
Armenia,ARM,2013,638
Armenia,ARM,2014,594
Armenia,ARM,2015,539
Armenia,ARM,2016,497
Armenia,ARM,2017,442
Armenia,ARM,2018,405
Armenia,ARM,2019,379
Armenia,ARM,2020,352
Armenia,ARM,2021,340
Armenia,ARM,2022,313
Armenia,ARM,2023,301
Aruba,ABW,1950,146
Aruba,ABW,1951,140
Aruba,ABW,1952,134
Aruba,ABW,1953,127.00001
Aruba,ABW,1954,120
Aruba,ABW,1955,113
Aruba,ABW,1956,106
Aruba,ABW,1957,99
Aruba,ABW,1958,93
Aruba,ABW,1959,88
Aruba,ABW,1960,85
Aruba,ABW,1961,80
Aruba,ABW,1962,76
Aruba,ABW,1963,72
Aruba,ABW,1964,68
Aruba,ABW,1965,64
Aruba,ABW,1966,61
Aruba,ABW,1967,57
Aruba,ABW,1968,53
Aruba,ABW,1969,49
Aruba,ABW,1970,45
Aruba,ABW,1971,42
Aruba,ABW,1972,39
Aruba,ABW,1973,37
Aruba,ABW,1974,36
Aruba,ABW,1975,35
Aruba,ABW,1976,33
Aruba,ABW,1977,32
Aruba,ABW,1978,31
Aruba,ABW,1979,29
Aruba,ABW,1980,28
Aruba,ABW,1981,27
