CODE,LINE ITEM,AMOUNT,DEPARTMENT,MINISTRY
23010138,PURCHASE OF HELLO SPARES/MAINTENANCE,164990169,STATE HOUSE - HQTRS,PRESIDENCY
23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,1830783061,STATE HOUSE - HQTRS,PRESIDENCY
23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,654418467,STATE HOUSE - HQTRS,PRESIDENCY
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,25362462362,STATE HOUSE - HQTRS,PRESIDENCY
23040103,WILDLIFE CONSERVATION,124612890,STATE HOUSE - HQTRS,PRESIDENCY
23050102,COMPUTER SOFTWARE ACQUISITION,528091477,STATE HOUSE - HQTRS,PRESIDENCY
23050103,MONITORING AND EVALUATION,25164113,STATE HOUSE - HQTRS,PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,873886689,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22020104,INTERNATIONAL TRAVEL & TRANSPORT: OTHERS,6140709822,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22020307,DRUGS & MEDICAL SUPPLIES,79671849,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22020311,FOOD STUFF / CATERING MATERIALS SUPPLIES,375187661,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22021001,REFRESHMENT & MEALS,56432522,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22021002,HONORARIUM & SITTING ALLOWANCE,65775786,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22021003,PUBLICITY & ADVERTISEMENTS,14630247,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22021006,POSTAGES & COURIER SERVICES,2701312,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23010105,PURCHASE OF MOTOR VEHICLES,255728214,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,1112418,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,1917962,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,1278641,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,656395954,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,2043597,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
23050103,MONITORING AND EVALUATION,191796160,STATE HOUSE OPERATIONS - PRESIDENT,PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,417488198,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020104,INTERNATIONAL TRAVEL & TRANSPORT: OTHERS,1314618239,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,5229962,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020305,PRINTING OF NON SECURITY DOCUMENTS,10727814,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020309,UNIFORMS & OTHER CLOTHING,962295,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020311,FOOD STUFF / CATERING MATERIALS SUPPLIES,171027419,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020806,COOKING GAS/FUEL COST,3002368,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021001,REFRESHMENT & MEALS,14998867,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021002,HONORARIUM & SITTING ALLOWANCE,21800875,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021003,PUBLICITY & ADVERTISEMENTS,11829948,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021006,POSTAGES & COURIER SERVICES,1218471,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021007,WELFARE PACKAGES,24907558,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22021009,SPORTING ACTIVITIES,3098655,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,879299198,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
23050102,COMPUTER SOFTWARE ACQUISITION,36965381,STATE HOUSE OPERATIONS - VICE PRESIDENT,PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,8119664,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22020404,MAINTENANCE OF OFFICE / IT EQUIPMENTS,40659341,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22020501,LOCAL TRAINING,312914045,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22020502,INTERNATIONAL TRAINING,319944950,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22021001,REFRESHMENT & MEALS,24895200,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22021002,HONORARIUM & SITTING ALLOWANCE,293944784,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23010105,PURCHASE OF MOTOR VEHICLES,285000000,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,4000000,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23010113,PURCHASE OF COMPUTERS,20000000,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23010115,PURCHASE OF PHOTOCOPYING MACHINES,15000000,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23010125,PURCHASE OF LIBRARY BOOKS & EQUIPMENT,121650000,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
23050102,COMPUTER SOFTWARE ACQUISITION,68072655,OFFICE OF THE CHIEF OF STAFF TO THE PRESIDENT,PRESIDENCY
22020202,TELEPHONE CHARGES,627353,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,26990652,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020401,MAINTENANCE OF MOTOR VEHICLE / TRANSPORT EQUIPMENT,27836841,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020406,OTHER MAINTENANCE SERVICES,32096710,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020501,LOCAL TRAINING,16365853,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020801,MOTOR VEHICLE FUEL COST,92462955,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22021001,REFRESHMENT & MEALS,16108859,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
23010105,PURCHASE OF MOTOR VEHICLES,179633225,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
23010128,PURCHASE OF SECURITY EQUIPMENT,47153721,OFFICE OF THE CHIEF SECURITY OFFICER TO THE PRESIDENT,PRESIDENCY
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,22745243,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
22020307,DRUGS & MEDICAL SUPPLIES,402293773,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
22020309,UNIFORMS & OTHER CLOTHING,31871814,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
22020404,MAINTENANCE OF OFFICE / IT EQUIPMENTS,139803344,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
22020501,LOCAL TRAINING,36273682,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
23010122,PURCHASE OF HEALTH / MEDICAL EQUIPMENT,392846507,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
23020101,CONSTRUCTION / PROVISION OF OFFICE BUILDINGS,54129114,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,47049184,STATE HOUSE MEDICAL CENTRE,PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,20516478,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020201,ELECTRICITY CHARGES,43274752,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,20101256,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020303,NEWSPAPERS,2078593,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020305,PRINTING OF NON SECURITY DOCUMENTS,10425701,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020401,MAINTENANCE OF MOTOR VEHICLE / TRANSPORT EQUIPMENT,20672751,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020403,MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS,21297841,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22020801,MOTOR VEHICLE FUEL COST,33346493,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
22021001,REFRESHMENT & MEALS,10094531,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
23010128,PURCHASE OF SECURITY EQUIPMENT,4483301,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,161974471,STATE HOUSE LAGOS LIAISON OFFICE,PRESIDENCY
21010101,SALARY,1244453166,"NIPSS, KURU",PRESIDENCY
21020111,REGULAR ALLOWANCES,94880658,"NIPSS, KURU",PRESIDENCY
21020201,NHIS,62222658,"NIPSS, KURU",PRESIDENCY
21020202,CONTRIBUTORY PENSION - EMPLOYER'S CONTRIBUTION,124168474,"NIPSS, KURU",PRESIDENCY
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,31443169,"NIPSS, KURU",PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,65794400,"NIPSS, KURU",PRESIDENCY
22020105,NIPSS/ NATIONAL DEFENCE COLLEGE PARTICIPANTS TOUR ALLOWANCE,764109514,"NIPSS, KURU",PRESIDENCY
22020201,ELECTRICITY CHARGES,288000000,"NIPSS, KURU",PRESIDENCY
22020202,TELEPHONE CHARGES,1564000,"NIPSS, KURU",PRESIDENCY
22020203,INTERNET ACCESS CHARGES,7265000,"NIPSS, KURU",PRESIDENCY
22020205,WATER RATES,2160000,"NIPSS, KURU",PRESIDENCY
22020206,SEWERAGE CHARGES,1710000,"NIPSS, KURU",PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,10075334,"NIPSS, KURU",PRESIDENCY
22020302,BOOKS,2200000,"NIPSS, KURU",PRESIDENCY
22020303,NEWSPAPERS,945500,"NIPSS, KURU",PRESIDENCY
22020304,MAGAZINES & PERIODICALS,446400,"NIPSS, KURU",PRESIDENCY
22020309,UNIFORMS & OTHER CLOTHING,4834000,"NIPSS, KURU",PRESIDENCY
22020310,TEACHING AIDS / INSTRUCTION MATERIALS,1664000,"NIPSS, KURU",PRESIDENCY
22020311,FOOD STUFF / CATERING MATERIALS SUPPLIES,174871560,"NIPSS, KURU",PRESIDENCY
22020401,MAINTENANCE OF MOTOR VEHICLE / TRANSPORT EQUIPMENT,8813108,"NIPSS, KURU",PRESIDENCY
22020402,MAINTENANCE OF OFFICE FURNITURE,2448000,"NIPSS, KURU",PRESIDENCY
22020403,MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS,15383500,"NIPSS, KURU",PRESIDENCY
22020404,MAINTENANCE OF OFFICE / IT EQUIPMENTS,2776000,"NIPSS, KURU",PRESIDENCY
22020405,MAINTENANCE OF PLANTS/GENERATORS,2664000,"NIPSS, KURU",PRESIDENCY
22020501,LOCAL TRAINING,25602478,"NIPSS, KURU",PRESIDENCY
22020601,SECURITY CHARGES,8995000,"NIPSS, KURU",PRESIDENCY
22020606,CLEANING AND FUMIGATION SERVICES,9662800,"NIPSS, KURU",PRESIDENCY
22020701,FINANCIAL CONSULTING,45000000,"NIPSS, KURU",PRESIDENCY
22020703,LEGAL SERVICES,7000000,"NIPSS, KURU",PRESIDENCY
22020709,AUDITING OF ACCOUNTS,4000000,"NIPSS, KURU",PRESIDENCY
22020803,PLANT / GENERATOR FUEL COST,14007000,"NIPSS, KURU",PRESIDENCY
22020806,COOKING GAS/FUEL COST,11325000,"NIPSS, KURU",PRESIDENCY
22020901,BANK CHARGES (OTHER THAN INTEREST),2552000,"NIPSS, KURU",PRESIDENCY
22021002,HONORARIUM & SITTING ALLOWANCE,60956000,"NIPSS, KURU",PRESIDENCY
22021003,PUBLICITY & ADVERTISEMENTS,4831809,"NIPSS, KURU",PRESIDENCY
22021004,MEDICAL EXPENSES,3831809,"NIPSS, KURU",PRESIDENCY
22021006,POSTAGES & COURIER SERVICES,4463680,"NIPSS, KURU",PRESIDENCY
22021007,WELFARE PACKAGES,2738328,"NIPSS, KURU",PRESIDENCY
22021008,SUBSCRIPTION TO PROFESSIONAL BODIES,2444920,"NIPSS, KURU",PRESIDENCY
22021009,SPORTING ACTIVITIES,3945500,"NIPSS, KURU",PRESIDENCY
23010119,PURCHASE OF POWER GENERATING SET,64000000,"NIPSS, KURU",PRESIDENCY
23010124,PURCHASE OF TEACHING / LEARNING AID EQUIPMENT,20000000,"NIPSS, KURU",PRESIDENCY
23020103,CONSTRUCTION / PROVISION OF ELECTRICITY,150000000,"NIPSS, KURU",PRESIDENCY
23020105,CONSTRUCTION / PROVISION OF WATER FACILITIES,15000000,"NIPSS, KURU",PRESIDENCY
23030101,REHABILITATION / REPAIRS OF RESIDENTIAL BUILDING,90000000,"NIPSS, KURU",PRESIDENCY
23030113,REHABILITATION / REPAIRS - ROADS,20000000,"NIPSS, KURU",PRESIDENCY
23030121,REHABILITATION / REPAIRS OF OFFICE BUILDINGS,50864861,"NIPSS, KURU",PRESIDENCY
23050101,RESEARCH AND DEVELOPMENT,95000000,"NIPSS, KURU",PRESIDENCY
23050102,COMPUTER SOFTWARE ACQUISITION,95000000,"NIPSS, KURU",PRESIDENCY
21010101,SALARY,782656770,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
21020111,REGULAR ALLOWANCES,419942311,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
21020201,NHIS,38557048,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
21020202,CONTRIBUTORY PENSION - EMPLOYER'S CONTRIBUTION,77114097,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,293149730,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,9119000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020201,ELECTRICITY CHARGES,65670500,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020202,TELEPHONE CHARGES,3383340,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020203,INTERNET ACCESS CHARGES,24198859,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020204,SATELLITE BROADCASTING ACCESS CHARGES,522256,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020205,WATER RATES,288981,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020206,SEWERAGE CHARGES,1343250,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020210,SOFTWARE CHARGES / LICENCE RENEWAL,33345886,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,39366554,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020303,NEWSPAPERS,761665,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020305,PRINTING OF NON SECURITY DOCUMENTS,12850346,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020307,DRUGS & MEDICAL SUPPLIES,437300,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020401,MAINTENANCE OF MOTOR VEHICLE / TRANSPORT EQUIPMENT,24038753,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020402,MAINTENANCE OF OFFICE FURNITURE,4521241,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020403,MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS,76312557,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020404,MAINTENANCE OF OFFICE / IT EQUIPMENTS,18011119,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020405,MAINTENANCE OF PLANTS/GENERATORS,7682872,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020406,OTHER MAINTENANCE SERVICES,5066709,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020501,LOCAL TRAINING,96534600,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020601,SECURITY CHARGES,54674965,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020606,CLEANING AND FUMIGATION SERVICES,10282400,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020701,FINANCIAL CONSULTING,68686818,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020702,INFORMATION TECHNOLOGY CONSULTING,30592168,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020703,LEGAL SERVICES,5704216,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020801,MOTOR VEHICLE FUEL COST,25432500,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020803,PLANT / GENERATOR FUEL COST,36200000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22020901,BANK CHARGES (OTHER THAN INTEREST),27369,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021001,REFRESHMENT & MEALS,16909271,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021003,PUBLICITY & ADVERTISEMENTS,3945087,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021004,MEDICAL EXPENSES,30939187,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021006,POSTAGES & COURIER SERVICES,4300849,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021007,WELFARE PACKAGES,15730000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
22021009,SPORTING ACTIVITIES,5563007,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23010105,PURCHASE OF MOTOR VEHICLES,220946361,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23010112,PURCHASE OF OFFICE FURNITURE AND FITTINGS,21296250,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23010113,PURCHASE OF COMPUTERS,158180000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23020118,CONSTRUCTION / PROVISION OF INFRASTRUCTURE,20000000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23050102,COMPUTER SOFTWARE ACQUISITION,140250000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
23050103,MONITORING AND EVALUATION,79090000,BUREAU OF PUBLIC ENTERPRISES (BPE),PRESIDENCY
21010101,SALARY,17587576667,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
21020101,NON REGULAR ALLOWANCES,1716085906,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
21020111,REGULAR ALLOWANCES,16709615172,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
21020201,NHIS,879378833,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
21020202,CONTRIBUTORY PENSION - EMPLOYER'S CONTRIBUTION,1758757667,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020101,LOCAL TRAVEL & TRANSPORT: TRAINING,446364912,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020102,LOCAL TRAVEL & TRANSPORT: OTHERS,4967570265,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020103,INTERNATIONAL TRAVEL & TRANSPORT: TRAINING,1304282881,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020104,INTERNATIONAL TRAVEL & TRANSPORT: OTHERS,759673639,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020201,ELECTRICITY CHARGES,761240641,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020202,TELEPHONE CHARGES,20097128,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020203,INTERNET ACCESS CHARGES,119914611,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020204,SATELLITE BROADCASTING ACCESS CHARGES,55443185,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020205,WATER RATES,37592954,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020206,SEWERAGE CHARGES,43465394,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020207,LEASED COMMUNICATION LINES(S),19834380,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020301,OFFICE STATIONERIES / COMPUTER CONSUMABLES,601077289,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
22020302,BOOKS,14224240,ECONOMIC AND FINANCIAL CRIMES COMMISSION (EFCC),PRESIDENCY
