Date,Machine_ID,Assembly_Line_No,Hydraulic_Pressure(bar),Coolant_Pressure(bar),Air_System_Pressure(bar),Coolant_Temperature,Hydraulic_Oil_Temperature,Spindle_Bearing_Temperature,Spindle_Vibration,Tool_Vibration,Spindle_Speed(RPM),Voltage(volts),Torque(Nm),Cutting(kN),Downtime
30-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,106.1276855,5.092841689,7.168799636,5.7,45.3,33.2,1.052,28.604,20470.0,445.0,23.32203224,1.88,No_Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,134.3099363,5.097346355,6.761040938,4.5,45.0,36.8,0.905,25.637,17726.0,387.0,23.3004051,2.88,No_Machine_Failure
30-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,138.7899732,5.097677352,6.19357051,21.2,49.7,34.2,1.304,23.086,14266.0,336.0,23.3004051,2.82,No_Machine_Failure
30-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,91.54,4.604551453,6.259579363,26.4,51.2,40.0,0.464,24.451,18592.0,294.0,16.44955444,3.13,Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,75.53,4.605076132,6.606661206,28.7,44.0,35.3,1.032,32.456,18594.0,315.0,15.1197393,2.59,Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,58.7,4.605639814,6.957827619,27.0,48.3,37.1,0.404,16.991,18594.0,349.0,14.20288973,2.42,Machine_Failure
30-04-2022,Makino-L1-Unit1-2013,Shopfloor-L1,99.56,4.602896383,6.802293264,25.6,46.2,35.3,1.08,34.978,18590.0,398.0,15.90071615,3.33,Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,148.9266008,3.053451378,5.742484836,20.3,46.7,32.4,1.511,19.626,20143.0,419.0,23.70064042,2.95,No_Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,168.7970173,4.996191476,6.177731065,20.2,49.7,37.0,0.695,22.98,20066.0,439.0,23.79158776,2.02,No_Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,109.0406761,5.005857708,6.343163162,9.9,48.9,38.2,1.618,32.338,14152.0,326.0,23.73363162,2.11,No_Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,131.2658541,4.982835887,6.335328909,20.1,47.9,27.7,1.085,31.444,20033.0,347.0,28.38124,2.01,No_Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,118.8639284,5.003071102,6.062090565,20.2,53.8,37.0,0.613,34.735,20096.0,319.0,23.75607086,3.0,No_Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,132.8214064,3.126011472,6.690248204,5.7,44.7,34.6,1.006,43.624,17726.0,272.0,23.8331586,2.01,No_Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,111.6968659,4.989508626,6.029679692,20.1,43.0,36.9,1.01,24.895,20048.0,304.0,23.81294892,2.17,No_Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,141.5189961,5.200585147,6.899449281,22.2,49.2,33.4,1.312,31.531,20908.0,369.0,22.83346088,1.86,No_Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,124.8479541,5.690640358,6.134580004,26.7,48.8,33.0,1.333,24.673,22802.0,377.0,20.93684764,1.87,No_Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,96.371232,3.053148837,7.166194189,25.7,48.8,31.2,1.15,21.245,22313.0,363.0,21.39568861,2.88,No_Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,99.26714472,3.895031347,6.206182865,20.3,50.7,34.0,0.743,26.577,20132.0,331.0,23.7135903,1.99,No_Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,120.8177826,3.126011472,6.835145947,20.2,44.1,33.4,0.717,16.304,20063.0,324.0,23.79514529,1.95,No_Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,125.4182022,3.106960002,6.852916131,20.2,49.9,35.9,1.686,30.197,20096.0,388.0,23.75607086,2.93,No_Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,122.3091411,5.007064236,5.756943846,20.3,44.7,39.1,1.286,16.014,16198.0,406.0,28.38124,1.89,No_Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,91.77,4.628407979,6.059738854,24.4,52.3,37.1,1.414,38.046,18662.0,343.0,17.89931102,2.63,Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,114.6794626,3.164804649,6.649912866,23.1,42.4,37.4,1.222,21.857,21253.0,337.0,28.38124,2.89,No_Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,64.22,4.632470519,6.742402654,30.3,44.2,27.1,0.68,17.501,18696.0,395.0,17.89931102,2.71,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,72.19,4.631963789,7.228818793,29.8,43.7,40.2,2.0,30.001,18677.0,303.0,15.1197393,3.91,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,75.27,4.633612606,6.91435182,26.4,53.9,36.6,1.025,30.299,18703.0,361.0,16.44955444,2.68,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,59.08,4.632531174,6.670580469,27.0,52.6,41.9,0.953,25.503,18697.0,354.0,14.20288973,2.48,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,99.19,4.632255824,6.732224919,28.7,46.9,35.9,1.638,18.274,18695.0,466.0,15.1197393,2.55,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,81.6,4.627300244,6.880450666,30.3,42.7,39.7,1.25,22.987,18660.0,363.0,16.96410507,2.55,Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,95.84,4.62865564,6.898058912,29.8,50.0,36.7,0.537,21.723,25177.0,390.0,16.96410507,2.64,Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,95.29,4.631763082,6.465047592,24.4,44.9,31.6,0.791,28.124,18676.0,223.0,15.90071615,2.53,Machine_Failure
30-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,91.7,4.630289963,6.102109736,25.6,45.3,38.0,1.307,25.36,18670.0,411.0,16.44955444,2.63,Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,69.97,4.632143517,6.135294565,26.4,44.6,33.9,1.745,23.816,18684.0,295.0,14.44705039,2.77,Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,50.59,4.626836515,6.570905822,28.7,46.5,34.8,0.489,21.161,18658.0,363.0,14.20288973,2.49,Machine_Failure
30-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,88.11,4.626795799,6.648780721,29.8,44.7,38.5,0.633,24.478,18656.0,378.0,15.1197393,2.56,Machine_Failure
30-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,111.1404806,3.105982448,7.278297665,20.2,44.5,37.5,1.136,31.451,20078.0,384.0,23.77736826,2.64,No_Machine_Failure
30-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,50.24,4.853148554,6.073899663,14.2,48.0,32.2,0.55,30.478,19579.0,339.0,15.90071615,3.55,Machine_Failure
30-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,87.17,4.881780773,6.08134781,28.7,45.4,32.6,1.527,28.087,19691.0,342.0,17.89931102,3.67,Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,88.95,4.87287689,7.128030845,18.2,42.4,35.3,0.891,26.004,19652.0,360.0,16.96410507,3.69,Machine_Failure
30-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,82.01,4.84252053,6.442445097,8.1,47.0,38.1,1.62,22.532,25528.0,333.0,24.38212462,2.85,Machine_Failure
30-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,50.39,5.918357337,5.932723017,17.3,47.7,39.7,0.969,21.076,23432.0,372.0,24.47336853,3.33,Machine_Failure
30-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,145.0208641,3.888834693,6.168785968,12.2,51.0,37.0,0.554,32.839,15217.0,312.0,22.87613206,1.89,No_Machine_Failure
30-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,90.57,4.833808976,6.327580817,24.4,47.2,35.2,1.277,30.465,19502.0,308.0,17.89931102,2.62,Machine_Failure
30-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,54.6,4.831732053,6.030641613,25.6,55.2,32.9,1.39,36.111,19496.0,306.0,15.90071615,2.53,Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,98.76,4.873096632,6.547637409,8.0,50.7,36.0,1.072,21.153,21951.0,305.0,15.1197393,2.55,Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,73.49,4.830950284,5.926882156,21.9,46.1,29.9,0.871,12.235,17919.0,384.0,24.49597209,3.53,Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,127.2746824,3.164804649,7.229447227,8.7,42.2,30.1,1.083,28.064,13272.0,352.0,22.74100891,2.17,No_Machine_Failure
30-01-2022,Makino-L1-Unit1-2013,Shopfloor-L1,111.8059937,3.105982448,6.379257677,7.4,52.1,33.5,0.696,28.203,19197.0,246.0,22.73775957,2.02,No_Machine_Failure
30-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,117.1226605,3.895031347,6.50613314,4.5,45.6,31.6,0.01,27.377,16198.0,313.0,22.80837036,1.91,No_Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,123.0958075,3.053148837,5.994825887,11.9,47.3,34.5,1.134,15.695,14266.0,351.0,22.88490485,1.95,No_Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,123.7002566,3.053451378,6.17311717,10.6,38.8,33.4,0.543,31.799,14152.0,313.0,22.91346292,1.99,No_Machine_Failure
30-01-2022,Makino-L2-Unit1-2015,Shopfloor-L2,127.1,4.87485962,5.4183556,30.3,43.3,37.2,1.305,28.952,19657.0,294.0,16.96410507,2.59,Machine_Failure
30-01-2022,Makino-L3-Unit1-2015,Shopfloor-L3,139.9493345,3.895031347,6.720155956,5.7,41.7,43.7,1.471,19.005,20862.0,328.0,22.88380788,3.0,No_Machine_Failure
29-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,139.434025,3.164804649,5.928643257,9.9,52.5,36.1,1.045,29.013,13272.0,359.0,23.13891043,1.88,No_Machine_Failure
29-12-2021,Makino-L3-Unit1-2015,Shopfloor-L3,139.434025,3.105982448,5.928643257,8.7,52.5,36.1,1.045,29.013,19197.0,359.0,23.3585478,2.72,No_Machine_Failure
29-05-2022,Makino-L3-Unit1-2015,Shopfloor-L3,70.52,4.574452248,6.126544873,25.4,47.6,36.2,1.322,16.591,18463.0,369.0,15.1197393,3.67,Machine_Failure
29-04-2022,Makino-L3-Unit1-2015,Shopfloor-L3,82.34,4.607414353,5.764472539,10.4,49.9,32.8,0.694,21.664,26605.0,357.0,15.90071615,3.49,Machine_Failure
29-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,76.22,4.606240648,6.187066996,17.3,43.3,32.9,1.408,18.863,26526.0,299.0,16.96410507,3.93,Machine_Failure
29-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,89.93,4.610135134,6.268958099,6.8,46.1,38.1,1.19,21.076,27613.0,351.0,17.89931102,3.59,Machine_Failure
29-04-2022,Makino-L3-Unit1-2015,Shopfloor-L3,87.05,4.607146349,5.823494494,7.8,48.4,33.5,1.004,24.87,20504.0,384.0,16.44955444,3.91,Machine_Failure
29-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,92.38,4.609861844,7.005159746,16.8,45.4,40.7,1.339,42.901,21951.0,342.0,14.20288973,3.61,Machine_Failure
29-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,134.1482237,3.106960002,7.009857332,7.4,46.8,26.9,0.458,26.477,18436.0,296.0,23.34255819,2.65,No_Machine_Failure
29-04-2022,Makino-L2-Unit1-2015,Shopfloor-L2,159.7620133,3.126011472,6.223668941,6.8,45.6,26.3,0.986,27.847,17726.0,385.0,23.29585712,2.85,No_Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,95.68,4.648656023,6.706019412,14.8,48.6,32.4,0.78,25.887,23432.0,257.0,15.1197393,3.58,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,83.33,4.665468486,6.256602124,11.3,51.3,38.3,1.253,17.395,25528.0,401.0,14.20288973,3.55,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,171.0,4.664979529,6.203941594,15.2,48.6,34.2,0.617,30.458,17919.0,353.0,14.10999444,3.55,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,68.27,4.66484663,6.474158084,31.2,44.4,30.5,1.743,33.729,27957.0,333.0,14.44705039,3.67,Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,67.14,4.632536661,6.415095203,6.4,44.4,37.4,1.32,14.635,20504.0,368.0,15.90071615,3.67,Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,59.37,4.648836155,6.79256787,17.5,48.6,42.3,1.615,18.748,26605.0,366.0,17.89931102,3.61,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,97.64,4.663419861,5.959923001,9.2,45.3,30.2,0.978,29.85,27613.0,363.0,16.96410507,2.69,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,93.05,4.663538009,6.349492432,10.1,50.4,43.8,0.706,29.718,26526.0,311.0,15.1197393,2.53,Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,99.39,4.648269418,6.705921012,16.2,49.2,39.2,1.118,24.115,23432.0,341.0,14.20288973,2.76,Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,76.97,4.665057181,6.900526168,18.4,42.5,40.5,1.042,22.768,20801.0,324.0,16.44955444,2.47,Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,71.75,4.674436339,7.263770721,16.2,42.8,31.6,0.635,33.03,25528.0,310.0,15.90071615,3.53,Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,55.15,4.666801914,5.091411159,12.3,46.2,36.2,0.276,31.194,17919.0,388.0,17.89931102,2.71,Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,93.1,4.666661578,6.478603269,18.2,48.2,37.4,1.372,19.119,27957.0,414.0,16.96410507,2.64,Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,91.92,4.632907576,6.770092951,18.8,37.1,37.6,0.967,26.864,21951.0,358.0,16.44955444,3.69,Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,134.9818453,5.674678995,6.655508198,26.5,51.7,35.3,0.908,,22734.0,352.0,20.99947216,2.88,No_Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,91.1738057,3.164804649,6.224337754,26.7,47.1,31.0,0.971,16.006,22851.0,269.0,35.5812209,3.01,No_Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,162.9963,5.717711526,6.185697843,26.8,50.0,37.5,1.053,19.534,22874.0,389.0,28.38124,1.87,No_Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,107.4031822,5.691967493,6.171530672,6.8,45.4,37.1,0.663,25.693,22807.0,320.0,20.93225764,1.99,No_Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,143.8245061,5.669818485,6.049233972,7.4,50.2,25.5,1.308,27.332,22690.0,453.0,35.5812209,1.95,No_Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,131.3817088,3.164804649,6.275383555,26.8,47.7,36.2,0.792,27.575,22870.0,380.0,30.51400825,3.1,No_Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,115.0651448,3.126011472,6.295071572,26.7,46.5,34.1,1.023,34.411,22809.0,379.0,35.5812209,3.02,No_Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,115.8137359,3.053451378,6.904676296,26.7,41.8,42.0,1.091,26.283,22842.0,375.0,32.37045571,2.97,No_Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,125.2182918,3.895031347,6.020382637,26.7,48.6,31.9,0.923,22.069,22833.0,350.0,34.97300419,2.97,No_Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,100.922193,3.105982448,6.396265557,26.5,37.8,26.5,0.959,20.785,22696.0,317.0,34.97300419,2.91,No_Machine_Failure
29-03-2022,Makino-L1-Unit1-2013,Shopfloor-L1,141.6807075,3.106960002,6.742656128,26.6,51.6,34.1,0.903,27.917,22796.0,364.0,33.92336502,3.06,No_Machine_Failure
29-03-2022,Makino-L2-Unit1-2015,Shopfloor-L2,141.7204771,3.126011472,6.178056052,26.7,51.2,33.9,0.633,17.081,22858.0,284.0,32.51929855,3.1,No_Machine_Failure
29-03-2022,Makino-L3-Unit1-2015,Shopfloor-L3,130.7696259,3.895031347,6.205196818,26.7,46.8,31.5,1.329,27.786,22858.0,262.0,31.62033518,1.95,No_Machine_Failure
